Country.of.Origin,Number.of.Bags,Variety,Processing.Method,Aroma,Flavor,Acidity,Balance,Sweetness,Moisture,altitude_mean_meters
Ethiopia,300,Other,Washed / Wet,8.75,8.67,8.58,8.42,10,0.12,2075
Ethiopia,300,Other,Washed / Wet,8.25,8.5,8.5,8.33,10,0.12,2075
Ethiopia,50,Other,Natural / Dry,8.08,8.58,8.5,8.42,10,0.1,1822.5
United States,10,Other,Washed / Wet,8.25,8.42,8.33,8.17,10,0,1872
United States,10,Other,Washed / Wet,8.08,8.67,8.42,8.08,10,0,1943
United States,10,Other,Washed / Wet,8,8.5,8.17,8,10,0,2080
China,3,Catimor,Washed / Wet,8.42,8.25,8.17,8,10,0.1,1450
Ethiopia,250,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.17,8.33,10,0,1850
United States,10,Other,Washed / Wet,8,8.25,8.5,8,10,0,2019
Costa Rica,250,Caturra,Washed / Wet,8.08,8.25,8.17,8.33,10,0.11,1300
Mexico,14,Other,Washed / Wet,8.17,8.25,8,8.17,10,0.13,1320
United States,10,Other,Washed / Wet,8.25,8.33,8.17,8.17,10,0,2112
Brazil,3,Bourbon,Natural / Dry,8.5,8.5,8,8,10,0.12,1250
Uganda,100,SL14,Washed / Wet,8.42,8.17,8.17,7.92,10,0.12,1950
Taiwan,20,Sumatra,Pulped natural / honey,8,8,8.25,8.17,10,0,1200
Brazil,29,Bourbon,Natural / Dry,8.5,8.17,7.75,8,10,0.12,1300
Costa Rica,250,Caturra,Washed / Wet,8.17,7.83,8.08,8,10,0,1300
Kenya,320,SL34,Washed / Wet,8.08,8,8.25,7.92,10,0.12,1800
United States,10,Other,Washed / Wet,7.67,8.17,8,8.08,10,0,1941
Thailand,53,Caturra,Washed / Wet,7.83,8.33,8.25,7.92,10,0.1,1300
Taiwan,10,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,8.08,7.83,10,0.12,1000
Kenya,12,SL28,Natural / Dry,8.08,8.08,8,8.08,10,0.11,1754
Brazil,7,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,10,0.11,1250
Colombia,1,Caturra,Washed / Wet,7.75,7.92,8.08,8.17,10,0.12,1200
Kenya,1,SL28,Washed / Wet,7.92,8.17,8.5,7.92,10,0.11,1860
Uganda,1,Other,Washed / Wet,8.25,8,8.08,7.92,10,0.1,1650
Uganda,1,SL14,Natural / Dry,8.17,8.17,8.08,7.75,10,0.12,1650
Colombia,275,Caturra,Washed / Wet,8,8,8.17,8,10,0,1800
Panama,37,Gesha,Washed / Wet,8,8,8.08,8,10,0.08,1600
Guatemala,150,Bourbon,Washed / Wet,7.83,8,8.17,8,10,0.12,1524
Guatemala,275,Catuai,Washed / Wet,8,8,8.33,7.83,10,0.1,1417.32
El Salvador,275,Bourbon,Washed / Wet,7.92,8.17,7.92,7.83,10,0.1,1500
El Salvador,19,Bourbon,Semi-washed / Semi-pulped,7.83,8,7.75,8.17,10,0.11,1350
Panama,100,Caturra,Natural / Dry,8,7.75,7.83,8.58,10,0.09,1680
Kenya,16,SL28,Natural / Dry,7.92,7.92,8.08,7.92,10,0.1,1900
Ethiopia,320,Other,Natural / Dry,7.83,8,7.92,8.08,10,0.12,1900
Uganda,320,SL14,Washed / Wet,8.33,7.92,7.92,7.92,10,0.12,1600
Guatemala,250,Bourbon,Washed / Wet,8,7.83,8.33,8,10,0.11,1731.264
Uganda,150,SL14,Washed / Wet,8.08,8,7.67,7.83,10,0.12,1950
Brazil,5,Bourbon,Semi-washed / Semi-pulped,8,8,7.67,8,10,0.11,1250
China,3,Catimor,Natural / Dry,8,8,7.83,7.75,10,0.1,1700
Guatemala,36,Pacamara,Natural / Dry,7.83,7.75,7.67,8.58,10,0.11,1770
Costa Rica,250,Caturra,Washed / Wet,7.92,8.08,7.92,8.08,9.33,0,1300
Costa Rica,250,Caturra,Washed / Wet,8,7.58,7.67,8.5,10,0.1,1300
Kenya,20,SL34,Washed / Wet,7.83,8.08,8.08,7.75,10,0,1600
Kenya,300,SL34,Washed / Wet,8,7.92,8.08,7.75,10,0,1200
Colombia,275,Caturra,Washed / Wet,8.17,7.92,8,7.83,10,0.11,1550
Colombia,250,Caturra,Natural / Dry,7.58,8.08,7.83,7.92,10,0.12,1550
Indonesia,54,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,8,7.83,10,0.11,1325
Guatemala,250,Caturra,Washed / Wet,8.25,8,7.92,7.67,10,0,1400
Colombia,250,Caturra,Natural / Dry,8.17,7.83,8.08,7.75,10,0,2560
Colombia,250,Caturra,Natural / Dry,7.83,8,7.75,7.83,10,0.11,2136
Uganda,200,SL14,Washed / Wet,8.17,7.92,7.75,7.75,10,0.11,1800
Costa Rica,36,Catuai,Washed / Wet,7.83,8,7.92,7.83,10,0.12,1900
Mexico,1,Typica,Washed / Wet,7.83,8,7.75,7.83,10,0.09,1300
Kenya,38,SL34,Washed / Wet,7.75,7.83,8.08,7.75,10,0,1580
Brazil,31,Mundo Novo,Natural / Dry,8,8,7.83,7.67,10,0.12,1100
Colombia,252,Caturra,Washed / Wet,7.92,7.83,7.83,8,10,0.12,1775
Taiwan,20,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.58,7.92,10,0.11,800
"Tanzania, United Republic Of",134,Other,Washed / Wet,8,7.83,7.92,7.75,10,0.12,1620
Colombia,50,Caturra,Washed / Wet,7.75,7.92,7.75,8,10,0.11,1775
Mexico,25,Typica,Semi-washed / Semi-pulped,7.75,8,7.83,7.92,10,0.11,1200
Brazil,4,Bourbon,Natural / Dry,8,7.92,7.75,7.75,10,0.11,1200
Brazil,10,Catuai,Natural / Dry,8,8,8,7.75,10,0.12,1000
Taiwan,10,Typica,Natural / Dry,7.92,7.58,7.83,7.83,10,0,350
Uganda,1,SL14,Natural / Dry,7.75,7.92,7.67,7.75,10,0.12,1650
Kenya,150,SL34,Washed / Wet,7.92,7.83,7.92,7.83,10,0.13,1800
Honduras,275,Catuai,Washed / Wet,7.83,7.75,7.67,7.67,10,0.11,1450
El Salvador,150,Bourbon,Washed / Wet,7.83,7.83,8,7.67,10,0,1350
Indonesia,2,Java,Washed / Wet,7.92,7.83,7.75,7.75,10,0.12,1200
Japan,20,Mundo Novo,Pulped natural / honey,7.75,7.75,7.42,7.83,10,0.12,170
Costa Rica,15,Catuai,Washed / Wet,8.08,7.75,7.83,7.92,10,0.1,1150
Guatemala,120,Bourbon,Washed / Wet,7.75,7.83,8,7.75,10,0.1,1600
Costa Rica,50,Caturra,Washed / Wet,8.17,8,7.17,7.75,10,0.12,1750
Ethiopia,250,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.83,7.67,10,0.1,1900
Costa Rica,20,Other,Other,7.67,7.58,7.75,8.58,10,0.08,1750
Costa Rica,275,Catuai,Washed / Wet,8,7.58,7.75,7.75,10,0.11,1200
Taiwan,10,Typica,Washed / Wet,8,7.92,7.75,7.75,10,0.11,1000
Colombia,250,Caturra,Washed / Wet,7.75,7.83,7.83,7.83,10,0,1550
Kenya,235,SL28,Washed / Wet,7.75,7.92,8,7.75,10,0.11,2000
Guatemala,250,Bourbon,Washed / Wet,8,7.83,7.83,8,10,0.11,1310.64
Guatemala,125,Bourbon,Washed / Wet,7.67,7.83,8,7.83,10,0.12,1524
Mexico,80,Typica,Washed / Wet,7.83,7.58,7.92,7.83,10,0.13,1200
Uganda,320,Other,Washed / Wet,7.92,7.83,7.92,7.75,10,0.11,1775
Kenya,66,SL34,Washed / Wet,7.92,7.75,7.75,7.92,10,0.11,1754
Colombia,250,Other,Washed / Wet,7.83,7.67,7.92,7.83,10,0,1500
Kenya,100,Peaberry,Washed / Wet,7.83,7.83,7.75,7.83,10,0.1,1800
Guatemala,250,Pacas,Washed / Wet,7.75,7.83,7.92,7.83,10,0.11,1524
Guatemala,250,Bourbon,Washed / Wet,8,7.92,7.58,7.67,10,0.09,1219.2
Colombia,250,Caturra,Washed / Wet,7.67,7.67,7.75,8.5,10,0,1550
Colombia,75,Caturra,Washed / Wet,7.75,7.75,7.75,8,10,0,1750
Colombia,250,Caturra,Washed / Wet,7.67,7.83,8,7.92,10,0,1750
Costa Rica,1,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,8,7.67,10,0.12,1575
Colombia,250,Caturra,Washed / Wet,7.42,7.67,7.75,7.83,10,0.11,1800
Brazil,37,Bourbon,Semi-washed / Semi-pulped,8,8,7.75,7.75,10,0.12,1300
Brazil,35,Catuai,Semi-washed / Semi-pulped,8.5,8,7.75,7.83,10,0.11,1100
Costa Rica,275,Caturra,Washed / Wet,7.92,7.67,7.75,7.58,10,0.1,1200
Uganda,200,SL14,Washed / Wet,7.92,7.75,7.75,7.75,10,0.11,1750
China,3,Catimor,Washed / Wet,7.75,7.92,7.83,7.67,10,0.1,1680
Costa Rica,250,Caturra,Washed / Wet,7.92,7.83,7.83,7.58,10,0.11,1700
Colombia,275,Other,Washed / Wet,8.08,7.67,7.83,7.67,10,0.12,1800
China,1,Other,Washed / Wet,7.67,8,7.83,7.58,10,0,1100
Guatemala,250,Bourbon,Washed / Wet,8.17,7.83,7.83,7.83,10,0.11,1310.64
Kenya,235,SL28,Washed / Wet,7.92,7.83,8,7.75,10,0.11,2000
Mexico,56,Typica,Washed / Wet,8,7.92,8.08,7.67,10,0.12,1350
Mexico,250,Typica,Washed / Wet,7.92,7.83,7.75,7.83,10,0.11,1500
Costa Rica,275,Caturra,Washed / Wet,7.58,7.83,8,7.58,10,0.1,1300
Indonesia,200,Mandheling,Other,7.67,7.67,7.58,7.83,10,0,1400
Colombia,275,Caturra,Washed / Wet,7.92,7.75,7.92,7.75,10,0,1775
Taiwan,2,Typica,Washed / Wet,7.83,7.83,8,7.75,10,0.11,1200
Mexico,69,Pacamara,Washed / Wet,7.75,7.92,7.67,7.67,10,0.12,900
Kenya,150,SL28,Washed / Wet,7.33,7.58,7.75,7.92,10,0.11,1800
Honduras,275,Catuai,Washed / Wet,7.58,7.92,7.75,7.75,10,0.11,1500
Colombia,250,Caturra,Natural / Dry,7.75,7.67,7.67,7.83,10,0.11,442
Colombia,275,Caturra,Washed / Wet,7.75,7.58,7.83,8.08,10,0,1800
Mexico,100,Typica,Washed / Wet,8,7.75,7.83,7.67,10,0.12,1700
Taiwan,10,Typica,Washed / Wet,7.92,7.75,7.67,7.83,10,0.12,1000
Thailand,20,Catimor,Natural / Dry,7.83,7.75,7.42,7.67,10,0.12,1200
Colombia,275,Caturra,Natural / Dry,7.83,7.58,7.58,8,10,0.11,2560
Guatemala,230,Caturra,Washed / Wet,7.75,7.75,7.92,7.75,10,0.11,1500
Guatemala,275,Caturra,Washed / Wet,7.75,7.92,8.08,7.67,10,0.1,1099.4136
China,3,Catimor,Natural / Dry,7.83,7.83,7.75,7.75,10,0.1,1400
Colombia,275,Caturra,Washed / Wet,7.67,7.67,7.75,7.92,10,0.11,1775
Colombia,248,Caturra,Washed / Wet,7.83,7.67,7.58,7.75,10,0.12,1775
Colombia,275,Other,Washed / Wet,7.83,7.75,7.58,7.75,10,0.12,1800
Colombia,250,Caturra,Natural / Dry,7.42,7.67,7.75,7.83,10,0.12,442
"Tanzania, United Republic Of",10,Other,Washed / Wet,7.83,7.67,7.83,7.67,10,0.12,1620
"Tanzania, United Republic Of",65,Other,Washed / Wet,7.83,7.75,7.75,7.75,10,0.12,1600
Guatemala,250,Bourbon,Other,7.83,7.83,7.92,7.75,10,0.1,1219.2
Colombia,250,Caturra,Washed / Wet,7.58,7.5,7.83,7.83,10,0.11,1700
Mexico,10,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.83,7.75,10,0.12,1450
Mexico,20,Bourbon,Washed / Wet,7.83,7.83,7.67,7.58,10,0.12,1170
Mexico,250,Bourbon,Washed / Wet,7.83,7.92,7.75,7.75,10,0.1,1400
Uganda,1,Other,Natural / Dry,8.17,7.75,7.67,7.58,10,0.13,1700
Guatemala,50,Bourbon,Washed / Wet,7.75,7.83,7.83,7.75,10,0.13,1700
Costa Rica,150,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,10,0.09,1700
Guatemala,275,Caturra,Washed / Wet,7.75,7.75,8,7.83,10,0.11,1116.7872
Guatemala,377,Caturra,Washed / Wet,7.75,7.92,7.92,7.67,10,0.1,1565
Guatemala,130,Bourbon,Washed / Wet,7.58,7.83,7.83,7.67,10,0.1,3280
Colombia,275,Caturra,Washed / Wet,8,7.5,7.67,7.83,10,0,1775
Nicaragua,275,Caturra,Natural / Dry,7.67,7.83,7.5,7.83,10,0.12,1000
Brazil,305,Catuai,Natural / Dry,7.67,7.75,7.67,7.75,10,0,1150
Costa Rica,320,Caturra,Washed / Wet,7.67,7.75,7.75,8,10,0,1850
Ethiopia,320,Gesha,Natural / Dry,7.5,7.92,7.83,7.83,10,0.1,1606.5
"Tanzania, United Republic Of",10,Other,Washed / Wet,7.92,7.75,7.75,7.58,10,0.13,1400
Colombia,250,Other,Washed / Wet,7.67,7.5,7.42,8.58,10,0.12,1530
Kenya,300,SL28,Washed / Wet,7.58,7.75,7.75,7.83,10,0.08,250.5
Brazil,1,Mundo Novo,Natural / Dry,7.58,7.83,7.67,8,10,0.11,1038.5
Guatemala,250,Bourbon,Washed / Wet,7.92,7.75,7.67,7.92,10,0.11,1310.64
El Salvador,275,Bourbon,Natural / Dry,8.42,8.08,7.17,8.17,10,0.11,1500
Colombia,250,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,10,0,1750
Uganda,320,Other,Washed / Wet,7.83,7.75,7.83,7.75,10,0.11,1600
Colombia,275,Caturra,Washed / Wet,7.83,7.5,7.5,8.5,10,0,442
Taiwan,10,Typica,Washed / Wet,7.58,7.67,7.67,7.83,10,0.1,968
Colombia,200,Caturra,Washed / Wet,7.92,7.75,7.75,7.67,10,0,1775
Guatemala,1,Bourbon,Washed / Wet,7.58,7.75,8,7.67,10,0.1,1550
Mexico,300,Typica,Washed / Wet,7.67,7.75,7.75,7.75,10,0.11,1480
Ethiopia,100,Other,Natural / Dry,7.92,7.92,8,7.92,8.67,0.09,1800
Ethiopia,320,Gesha,Natural / Dry,7.83,7.75,7.75,7.75,10,0.11,1800
Honduras,275,Caturra,Washed / Wet,7.42,7.83,7.92,7.58,10,0.1,1500
Guatemala,275,Caturra,Washed / Wet,7.67,7.83,7.92,7.67,10,0.12,1706.88
Colombia,250,Other,Washed / Wet,7.67,7.67,7.58,7.83,10,0.11,1600
Guatemala,250,Bourbon,Natural / Dry,7.92,7.67,7.92,7.83,10,0.1,1219.2
Guatemala,250,Bourbon,Other,7.75,7.83,7.83,7.67,10,0.1,1219.2
Colombia,250,Caturra,Natural / Dry,7.58,7.42,7.92,7.92,10,0.12,1450
Colombia,138,Caturra,Washed / Wet,7.67,7.67,7.5,7.67,10,0.12,1775
Ethiopia,50,Other,Natural / Dry,7.75,7.75,7.58,7.92,10,0.09,1550
Brazil,320,Yellow Bourbon,Natural / Dry,7.58,7.83,7.25,7.75,10,0.1,1260
Colombia,270,Caturra,Washed / Wet,7.67,7.83,7.75,7.75,10,0.11,1700
Kenya,300,SL34,Washed / Wet,7.67,7.83,7.75,7.67,10,0,1200
Kenya,150,SL28,Washed / Wet,7.67,7.75,7.75,7.67,10,0,1650
Uganda,320,Other,Washed / Wet,7.92,7.75,7.67,7.83,10,0.1,1700
Brazil,320,Bourbon,Natural / Dry,7.5,7.75,7.5,7.5,10,0,890
Mexico,200,Mundo Novo,Washed / Wet,7.83,7.83,7.92,7.5,10,0.11,1300
Thailand,45,Catimor,Natural / Dry,7.67,7.75,7.67,7.83,10,0.1,1350
Brazil,320,Bourbon,Natural / Dry,7.58,7.67,7.75,7.83,10,0.11,934
Taiwan,20,Typica,Washed / Wet,7.83,7.75,7.75,7.75,10,0.11,1200
Colombia,275,Caturra,Washed / Wet,7.75,7.58,7.83,7.67,10,0,1775
Taiwan,10,Typica,Washed / Wet,8,7.92,7.92,7.33,10,0.06,950
Colombia,250,Caturra,Natural / Dry,7.67,7.83,7.75,7.83,10,0.12,1550
Mexico,48,Typica,Washed / Wet,7.67,7.75,7.67,7.83,10,0.12,900
Mexico,250,Typica,Washed / Wet,7.5,7.67,7.83,7.75,10,0.11,1500
Mexico,20,Typica,Washed / Wet,7.75,7.92,7.92,7.67,10,0,1400
Colombia,275,Caturra,Washed / Wet,7.92,7.58,7.83,7.67,10,0,2527
Costa Rica,275,Caturra,Washed / Wet,7.67,7.67,7.67,7.75,10,0,1850
Guatemala,100,Bourbon,Washed / Wet,7.75,7.75,7.75,7.58,10,0.11,1500
Brazil,320,Yellow Bourbon,Natural / Dry,7.25,7.58,8,7.83,10,0,1
Taiwan,8,Typica,Washed / Wet,7.67,7.75,7.75,7.75,10,0,525
Brazil,300,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.5,8.17,9.33,0,1200
Costa Rica,250,Catuai,Washed / Wet,7.83,7.42,7.83,7.83,10,0.1,1300
Guatemala,250,Bourbon,Washed / Wet,7.58,7.83,8,7.75,10,0.1,1219.2
Brazil,320,Yellow Bourbon,Natural / Dry,7.92,7.5,7.67,7.5,10,0.1,1260
Colombia,250,Caturra,Washed / Wet,7.67,7.58,7.83,7.67,10,0.11,1750
Guatemala,250,Bourbon,Washed / Wet,7.5,7.83,7.83,7.67,10,0.11,1310.64
Mexico,20,Bourbon,Natural / Dry,7.67,8,7.42,7.5,10,0.1,1218
Mexico,250,Pacas,Natural / Dry,7.67,7.58,7.75,7.75,10,0.11,1300
Brazil,300,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.67,7.58,10,0.12,1250
Kenya,200,SL28,Washed / Wet,7.75,7.58,7.58,7.75,10,0.11,1800
Brazil,320,Bourbon,Natural / Dry,7.67,7.67,7.75,7.67,10,0.11,890
Colombia,275,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,10,0.11,442
Taiwan,10,Typica,Natural / Dry,7.67,7.67,7.58,7.83,10,0,750
China,3,Catimor,Washed / Wet,7.83,7.75,7.5,7.67,10,0.1,1650
Colombia,250,Caturra,Natural / Dry,7.75,7.67,7.67,7.83,10,0,442
Uganda,320,Bourbon,Natural / Dry,8,7.92,7.75,7.5,10,0.12,1400
United States (Puerto Rico),18,Other,Washed / Wet,7.83,7.83,7.67,8.17,10,0.12,853.44
Colombia,100,Caturra,Washed / Wet,7.67,7.67,7.92,7.67,10,0,1775
Colombia,250,Other,Washed / Wet,7.67,7.42,7.42,8.33,10,0,1550
Colombia,250,Caturra,Washed / Wet,7.58,7.67,7.67,7.67,10,0,1750
Colombia,275,Caturra,Washed / Wet,7.75,7.67,7.58,8,10,0.11,1750
Mexico,10,Caturra,Natural / Dry,7.83,7.58,7.5,7.67,10,0.13,700
Guatemala,250,Caturra,Washed / Wet,7.67,7.58,7.67,7.75,10,0.11,1300
Brazil,320,Bourbon,Natural / Dry,7.67,7.83,7.67,7.5,10,0.11,890
Kenya,200,SL28,Washed / Wet,8.08,7.67,7.58,7.67,10,0.11,1700
Honduras,285,Caturra,Washed / Wet,7.5,7.5,7.67,8,10,0.1,1400
Nicaragua,275,Caturra,Washed / Wet,7.67,7.75,7.67,7.58,10,0.1,1250
Brazil,320,Bourbon,Natural / Dry,7.58,7.75,7.75,7.58,10,0.11,934
Taiwan,20,Caturra,Natural / Dry,7.5,7.67,7.92,7.67,10,0.1,1200
Colombia,100,Caturra,Washed / Wet,7.5,7.75,7.75,7.67,10,0.11,1625
Guatemala,275,Bourbon,Washed / Wet,8,7.5,8,8,10,0.1,1356.6648
Colombia,250,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,10,0,1750
Colombia,250,Caturra,Washed / Wet,7.67,7.67,7.67,7.75,10,0,1900
Guatemala,250,Bourbon,Washed / Wet,7.67,7.67,7.67,7.75,10,0.12,1310.64
Guatemala,250,Bourbon,Washed / Wet,7.83,7.67,7.67,7.83,10,0.11,1310.64
Colombia,250,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,10,0.11,1750
Guatemala,250,Caturra,Natural / Dry,8.17,8.17,7.67,7.75,9.33,0.11,1450
Guatemala,250,Bourbon,Washed / Wet,7.67,8.17,7.42,7.83,10,0.11,1310.64
Mexico,48,Typica,Washed / Wet,7.67,7.5,7.33,8.25,10,0.12,1100
Indonesia,10,Typica,Washed / Wet,8.17,7.67,7.58,7.67,10,0.12,1400
Guatemala,250,Caturra,Washed / Wet,7.67,7.5,8,7.67,10,0.1,1524
Brazil,320,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,10,0.11,890
Guatemala,275,Caturra,Washed / Wet,7.75,7.75,7.83,7.58,10,0.11,1128.3696
China,3,Catimor,Washed / Wet,7.67,7.58,7.58,7.75,10,0.1,1100
Colombia,275,Caturra,Washed / Wet,7.67,7.75,7.67,7.58,10,0.12,1775
Mexico,275,Caturra,Washed / Wet,7.75,7.75,7.58,7.67,10,0.12,1200
Ethiopia,250,Other,Washed / Wet,7.75,7.67,7.67,7.67,10,0,1850
Uganda,100,SL14,Washed / Wet,7.67,7.67,7.75,7.67,10,0.12,1800
Colombia,250,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,10,0,1600
Colombia,250,Caturra,Washed / Wet,7.67,7.58,7.58,7.75,10,0.12,1550
Colombia,250,Caturra,Washed / Wet,7.75,7.58,7.58,7.83,10,0,1550
Taiwan,10,Typica,Other,7.75,7.75,7.75,7.58,10,0.11,1000
Colombia,275,Caturra,Washed / Wet,7.67,7.67,7.67,7.58,10,0.11,1775
Mexico,250,Typica,Washed / Wet,7.83,7.67,7.58,7.58,10,0.12,1000
Colombia,250,Caturra,Natural / Dry,7.67,7.58,7.58,7.75,10,0.11,2136
Brazil,33,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.75,7.58,10,0.12,1100
Colombia,50,Caturra,Washed / Wet,7.75,7.58,7.75,7.5,10,0,1799
